norm,lambda,eta,date,regime,eq_idx,bd_idx
L2,3.0,8.0,1990-10-31,normal,0.7114824644524347,0.8466287990551752
L2,3.0,8.0,1990-11-30,normal,0.7500690044295482,0.8600275435471927
L2,3.0,8.0,1990-12-31,calm,0.7641913036449477,0.8682677839861404
L2,3.0,8.0,1991-01-31,calm,0.7919452034107249,0.8744860169636184
L2,3.0,8.0,1991-02-28,calm,0.8414267316650305,0.8777531704916601
L2,3.0,8.0,1991-03-31,calm,0.856406651768863,0.8799297313814867
L2,3.0,8.0,1991-04-30,calm,0.852164013216,0.8847987418193218
L2,3.0,8.0,1991-05-31,calm,0.8810327734917184,0.8858143343307715
L2,3.0,8.0,1991-06-30,calm,0.8351371332222144,0.8816435365664078
L2,3.0,8.0,1991-07-31,calm,0.8685083779286409,0.8895495746564199
L2,3.0,8.0,1991-08-31,calm,0.881578560508089,0.9047075141564477
L2,3.0,8.0,1991-09-30,normal,0.860646359167385,0.918878390732499
L2,3.0,8.0,1991-10-31,normal,0.8672389102786071,0.9252498014175388
L2,3.0,8.0,1991-11-30,normal,0.8257606076778019,0.9301251137140945
L2,3.0,8.0,1991-12-31,calm,0.9147676920581768,0.9542137726966907
L2,3.0,8.0,1992-01-31,calm,0.8934536048332212,0.9379881092147697
L2,3.0,8.0,1992-02-29,calm,0.8994978184699179,0.9414606918883783
L2,3.0,8.0,1992-03-31,calm,0.8768016895142849,0.9329521568331925
L2,3.0,8.0,1992-04-30,calm,0.8984525536334612,0.9367055447909247
L2,3.0,8.0,1992-05-31,calm,0.8968029947449903,0.9517582289556814
L2,3.0,8.0,1992-06-30,calm,0.878365621976028,0.9618111371229342
L2,3.0,8.0,1992-07-31,calm,0.9102274565475863,0.9784526111740284
L2,3.0,8.0,1992-08-31,calm,0.8860172266583336,0.9858205462305668
L2,3.0,8.0,1992-09-30,calm,0.8917816547349726,0.9949615741084686
L2,3.0,8.0,1992-10-31,calm,0.891608649093954,0.9794634976762256
L2,3.0,8.0,1992-11-30,calm,0.9165398101399191,0.97743222530861
L2,3.0,8.0,1992-12-31,calm,0.9232378830724217,0.9902379815031366
L2,3.0,8.0,1993-01-31,normal,0.9276195700654833,1.0069494379266597
L2,3.0,8.0,1993-02-28,normal,0.9353039705839058,1.0223610322363799
L2,3.0,8.0,1993-03-31,normal,0.9504530889954533,1.0240651958344298
L2,3.0,8.0,1993-04-30,normal,0.9240143354188668,1.0287385077806561
L2,3.0,8.0,1993-05-31,normal,0.9429732615529911,1.0277852912445085
L2,3.0,8.0,1993-06-30,normal,0.9413277732115811,1.0438424280696865
L2,3.0,8.0,1993-07-31,normal,0.9340541335079752,1.0472410670232264
L2,3.0,8.0,1993-08-31,normal,0.9638803500991519,1.0629788157158957
L2,3.0,8.0,1993-09-30,normal,0.9517470242521037,1.0631346986098555
L2,3.0,8.0,1993-10-31,normal,0.9681104108400701,1.0647684240268456
L2,3.0,8.0,1993-11-30,normal,0.9531908612986139,1.0530486892390385
L2,3.0,8.0,1993-12-31,normal,0.9606171712989915,1.056333918828862
L2,3.0,8.0,1994-01-31,calm,0.9894366470551325,1.0679553233968289
L2,3.0,8.0,1994-02-28,normal,0.9576312060355452,1.0471586807590616
L2,3.0,8.0,1994-03-31,normal,0.9112368469967411,1.0185144088554499
L2,3.0,8.0,1994-04-30,normal,0.9192839795925694,1.007631472008451
L2,3.0,8.0,1994-05-31,normal,0.9277588586004334,1.004265686379025
L2,3.0,8.0,1994-06-30,normal,0.9000077356219772,0.9989330910686444
L2,3.0,8.0,1994-07-31,normal,0.9258082573790525,1.0159781285974765
L2,3.0,8.0,1994-08-31,normal,0.9572329670592697,1.0134798107291842
L2,3.0,8.0,1994-09-30,normal,0.9279435527331902,0.9948132488829741
L2,3.0,8.0,1994-10-31,normal,0.9437501432104474,0.9901465325868898
L2,3.0,8.0,1994-11-30,normal,0.90297541827304,0.9842840114945988
L2,3.0,8.0,1994-12-31,normal,0.9101080211019787,0.9867498932494148
L2,3.0,8.0,1995-01-31,normal,0.9283811699496644,1.0021337520912885
L2,3.0,8.0,1995-02-28,calm,0.9581580675946298,1.021951742824328
L2,3.0,8.0,1995-03-31,calm,0.9799360423129881,1.023520616452152
L2,3.0,8.0,1995-04-30,calm,1.003023335469882,1.033314190854413
L2,3.0,8.0,1995-05-31,calm,1.034028792815927,1.0677206979618614
L2,3.0,8.0,1995-06-30,calm,1.0511719561720223,1.0705304474532067
L2,3.0,8.0,1995-07-31,calm,1.0798437224485704,1.0633221026564539
L2,3.0,8.0,1995-08-31,calm,1.0744229069618785,1.071157456984289
L2,3.0,8.0,1995-09-30,normal,1.1128850981852998,1.0769722987336272
L2,3.0,8.0,1995-10-31,normal,1.1021134833199644,1.0859162498049062
L2,3.0,8.0,1995-11-30,normal,1.1427252630668217,1.097627807216389
L2,3.0,8.0,1995-12-31,normal,1.157059608766732,1.107653241735086
L2,3.0,8.0,1996-01-31,normal,1.1898240657081793,1.1102458298905662
L2,3.0,8.0,1996-02-29,normal,1.193433991923538,1.086617252055367
L2,3.0,8.0,1996-03-31,normal,1.1982280162690948,1.0748262064881278
L2,3.0,8.0,1996-04-30,normal,1.2088107661087835,1.0638374247504165
L2,3.0,8.0,1996-05-31,normal,1.2313587133290107,1.0572090853691918
L2,3.0,8.0,1996-06-30,normal,1.229212455091678,1.0671777123282506
L2,3.0,8.0,1996-07-31,stressed,1.1674469876482314,1.0652957519952864
L2,3.0,8.0,1996-08-31,normal,1.1846248026244874,1.0591426187103352
L2,3.0,8.0,1996-09-30,normal,1.2435871329255161,1.0729398906939855
L2,3.0,8.0,1996-10-31,normal,1.2708602423377056,1.0922007527406001
L2,3.0,8.0,1996-11-30,normal,1.3589003564858924,1.1064305682620206
L2,3.0,8.0,1996-12-31,normal,1.323426262679828,1.0910535252371745
L2,3.0,8.0,1997-01-31,normal,1.3986193726465082,1.0894848332054432
L2,3.0,8.0,1997-02-28,normal,1.4014557727342352,1.0879459653280301
L2,3.0,8.0,1997-03-31,stressed,1.3357078766121813,1.0712117200678506
L2,3.0,8.0,1997-04-30,normal,1.40797768698416,1.0826409274049213
L2,3.0,8.0,1997-05-31,normal,1.4835537052884087,1.087570382716178
L2,3.0,8.0,1997-06-30,normal,1.5425294157347387,1.0964550848548398
L2,3.0,8.0,1997-07-31,normal,1.6564035647925242,1.1213082321333148
L2,3.0,8.0,1997-08-31,normal,1.5544585509938034,1.107146415464202
L2,3.0,8.0,1997-09-30,normal,1.6302446231889551,1.1186033734576648
L2,3.0,8.0,1997-10-31,normal,1.5671900216532528,1.1301330648972991
L2,3.0,8.0,1997-11-30,normal,1.6309542820642586,1.1309295696343138
L2,3.0,8.0,1997-12-31,normal,1.648783874275785,1.136887791493791
L2,3.0,8.0,1998-01-31,normal,1.658429259940298,1.1465948218752673
L2,3.0,8.0,1998-02-28,normal,1.768796068760065,1.1412595701004538
L2,3.0,8.0,1998-03-31,normal,1.850242052542191,1.140730411770458
L2,3.0,8.0,1998-04-30,normal,1.8590788085851322,1.1417794335565083
L2,3.0,8.0,1998-05-31,normal,1.816643475700368,1.1480430249881108
L2,3.0,8.0,1998-06-30,normal,1.8808400228446678,1.1530724282277574
L2,3.0,8.0,1998-07-31,normal,1.8514707058879483,1.1509130263076799
L2,3.0,8.0,1998-08-31,stressed,1.573570507346285,1.1646945111576754
